Author Gender,Author Born On,Title,Good Reads Id,Year of Publication,Author Country,Pages,Author GR Id,Author Birth Year,Author Hometown,Author,Author Birthday,Attempted
male,1940/04/15,Paths of Glory,4102763,2009,London,448,4820,1940,London,Jeffrey Archer,04/15,1
,,Paper Towns,6442769,2008,Indianapolis,305,1406384,,Indianapolis,John Green,,1
male,,Percy Jackson and the Battle of the Labyrinth,2120932,2008,"San Antonio, Texas",361,15872,,"San Antonio, Texas",Rick Riordan,,1
,,Percy Jackson and the Lightning Thief,33793313,,,416,15001394,,,Sarah Ellen Burt,,1
male,,Percy Jackson and the Sea of Monsters,28186,2006,"San Antonio, Texas",279,15872,,"San Antonio, Texas",Rick Riordan,,1
male,,Percy Jackson and the Titans Curse,561456,2007,"San Antonio, Texas",320,15872,,"San Antonio, Texas",Rick Riordan,,1
female,1775/12/16,Pride and Prejudice,1885,1813,"Steventon Rectory, Hampshire, England",279,1265,1775,"Steventon Rectory, Hampshire, England",Jane Austen,12/16,1
,,P.S I Love You,23729224,2014,,545,7371296,,,Hayati Ahmad,,1
female,,Reunion,199785,2001,"Bloomington, Indiana",289,11654,,"Bloomington, Indiana",Meg Cabot,,1
male,1974/04/22,Revolution 2020,12615008,2011,New Delhi,296,61124,1974,New Delhi,Chetan Bhagat,04/22,1
male,,Rock Paper Scissors,31215005,2017,,46,6561846,,,Drew Daywalt,,1
male,1950/07/18,Screw It Lets Do It,198863,2006,"Blackheath, South London, England",128,115943,1950,"Blackheath, South London, England",Richard Branson,07/18,1
female,1775/12/16,Sense and Sensibility,14935,1811,"Steventon Rectory, Hampshire, England",409,1265,1775,"Steventon Rectory, Hampshire, England",Jane Austen,12/16,1
female,1963/08/20,Shadowland,25495606,2009,,191,2882485,1963,,Cherise Sinclair,08/20,1
male,1952/03/11,So Long and Thanks for All the Fish,6091075,1984,"Cambridge, England",225,4,1952,"Cambridge, England",Douglas Adams,03/11,1
female,,Star Girl,2796527,1967,,186,379177,,,Thelma Hatch Wyss,,1
,1957/11/05,Stumbling on Happiness,56627,2006,,263,32049,1957,,Daniel Todd Gilbert,11/05,1
male,1967/05/29,Superfreakonomics,20655234,2011,,561,798,1967,,Steven D. Levitt,05/29,1
,,Tales from Firozsha Baag,8962313,2010,,256,4340042,,,Books LLC,,1
male,1974/04/22,The 3 Mistakes of My Life,3320520,2008,New Delhi,258,61124,1974,New Delhi,Chetan Bhagat,04/22,1
male,1835/11/30,The Adventures of Tom Sawyer,24583,1875,"Florida, Missouri",244,1244,1835,"Florida, Missouri",Mark Twain,11/30,1
male,1956/02/22,The Children of the Lamp,339026,2004,Edinburgh Scotland,384,3155347,1956,Edinburgh Scotland,P.B. Kerr,02/22,1
male,,The Alchemist,865,1988,Rio de Janeiro,197,566,,Rio de Janeiro,Paulo Coelho,,1
male,,The Amulet of Samarkand,334123,2003,Bedford,462,33467,,Bedford,Jonathan Stroud,,1
male,1971/01/01,The Ask and the Answer,20758103,2009,"Fort Belvoir, Virginia",553,370361,1971,"Fort Belvoir, Virginia",Patrick Ness,01/01,1
male,,The Battle of the Labyrinth,2120932,2008,"San Antonio, Texas",361,15872,,"San Antonio, Texas",Rick Riordan,,1
male,1930/10/10,The Birthday Party,74090,1957,"Hackney, London",96,1197,1930,"Hackney, London",Harold Pinter,10/10,1
female,1931/02/18,The Bluest Eye,11337,1970,"Lorain, Ohio",216,3534,1931,"Lorain, Ohio",Toni Morrison,02/18,1
male,1975/06/23,The Book Thief,19063,2005,Sydney,552,11466,1975,Sydney,Markus Zusak,06/23,1
male,1954/03/20,The Cardturner,6783129,2010,"East Meadow, New York",336,6569,1954,"East Meadow, New York",Louis Sachar,03/20,1
male,,The Choice,25402194,2007,"Omaha, Nebraska",325,2345,,"Omaha, Nebraska",Nicholas Sparks,,1
male,1898/11/29,Prince Caspian,121749,1951,Belfast,240,1069006,1898,Belfast,C.S. Lewis,11/29,1
male,1898/11/29,The Magicians Nephew,65605,1955,Belfast,221,1069006,1898,Belfast,C.S. Lewis,11/29,1
male,1898/11/29,The Horse and His Boy,84119,1954,Belfast,224,1069006,1898,Belfast,C.S. Lewis,11/29,1
male,1898/11/29,The Last Battle,84369,1956,Belfast,288,1069006,1898,Belfast,C.S. Lewis,11/29,1
male,1898/11/29,"The Lion, the Witch and the Wardrobe",100915,1950,Belfast,206,1069006,1898,Belfast,C.S. Lewis,11/29,1
male,1898/11/29,The Voyage of the Dawn Treader,140225,1952,Belfast,248,1069006,1898,Belfast,C.S. Lewis,11/29,1
male,1898/11/29,The Silver Chair,65641,1953,Belfast,243,1069006,1898,Belfast,C.S. Lewis,11/29,1
male,1924/09/27,The Denial of Death,2761,1973,"Springfield, Massachusettes",336,1895,1924,"Springfield, Massachusettes",Ernest Becker,09/27,1
male,1943/10/03,The Difficulty of Being Good,6971900,2009,Faisalabad formerly known as Lyallpur,488,170980,1943,Faisalabad formerly known as Lyallpur,Gurcharan Das,10/03,1
,,The Fault in Our Stars,11870085,2012,Indianapolis,313,1406384,,Indianapolis,John Green,,1
