Author Gender,Author Born On,Title,Good Reads Id,Year of Publication,Author Country,Pages,Author GR Id,Author Birth Year,Author Hometown,Author,Author Birthday,Attempted
female,1973/12/24,Breaking Dawn,1162543,2008,Connecticut,756,941441,1973,Connecticut,Stephenie Meyer,12/24,1
male,1983/11/17,Brisinger,2248573,2008,Southern California,748,8349,1983,Southern California,Christopher Paolini,11/17,1
female,1962/08/11,Catching Fire,6148028,2009," Hartford, Connecticut",391,153394,1962," Hartford, Connecticut",Suzanne Collins,08/11,1
female,1965/07/31,Cuckoo's Calling,16160797,2013,Yate,455,383606,1965,Yate,Robert Galbraith,07/31,1
female,,Darkest Hour,49006,2005,,315,27498,,,Erin Hunter,,1
male,,Deception Point,976,2001,"Exeter, New Hampshire",556,630,,"Exeter, New Hampshire",Dan Brown,,1
female,,Deenie,37735,1973,"Elizabeth, New Jersey",159,12942,,"Elizabeth, New Jersey",Judy Blume,,1
male,,Digital Fortress,11125,1998,"Exeter, New Hampshire",510,630,,"Exeter, New Hampshire",Dan Brown,,1
female,1973/12/24,Eclipse,428263,2007,Connecticut,629,941441,1973,Connecticut,Stephenie Meyer,12/24,1
male,1983/11/17,Eldest,45978,2005,Southern California,704,8349,1983,Southern California,Christopher Paolini,11/17,1
female,1775/12/16,Emma,6969,1815,"Steventon Rectory, Hampshire, England",474,1265,1775,"Steventon Rectory, Hampshire, England",Jane Austen,12/16,1
male,1983/11/17,Eragon,113436,2002,Southern California,503,8349,1983,Southern California,Christopher Paolini,11/17,1
male,1785/01/04,Fairy Tales,22917,1812,"Hanau, Hesse-Kassel",880,2938140,1785,"Hanau, Hesse-Kassel",Jacob Grimm,01/04,1
male,1940/04/15,False Impression,78971,2005,London,538,4820,1940,London,Jeffrey Archer,04/15,1
female,1858/08/15,Five Children and It,45181,1902,"Kennington, Surrey",237,7935185,1858,"Kennington, Surrey",E. Nesbit,08/15,1
,,Fooled by Randomness,38315,2001,Amioun,368,21559,,Amioun,Nassim Nicholas Taleb,,1
female,,For One Day More,17132898,2013,"Salt Lake City, Utah",50,2096360,,"Salt Lake City, Utah",Aprilynne Pike,,1
,,Freakanomics,25900475,2015,,315,7164091,,,BusinessNews Publishing,,1
female,1900/11/08,Gone with the Wind,18405,1936,"Atlanta, Georgia",1037,11081,1900,"Atlanta, Georgia",Margaret Mitchell,11/08,1
,1977/09/15,Half of a Yellow Sun,18749,2006,Enugu,433,11291,1977,Enugu,Chimamanda Ngozi Adichie,09/15,1
female,,Handle with Care,3720975,2009,"Nesconset, Long Island, New York,",453,7128,,"Nesconset, Long Island, New York,",Jodi Picoult,,1
female,1965/07/31,Harry Potter and the Chamber of Secrets,15881,1998,"Yate, South Gloucestershire, England",341,1077326,1965,"Yate, South Gloucestershire, England",J.K. Rowling,07/31,1
female,1965/07/31,Harry Potter and the Deathly Hallows,136251,2007,"Yate, South Gloucestershire, England",759,1077326,1965,"Yate, South Gloucestershire, England",J.K. Rowling,07/31,1
female,1965/07/31,Harry Potter and the Goblet of Fire,6,2000,"Yate, South Gloucestershire, England",734,1077326,1965,"Yate, South Gloucestershire, England",J.K. Rowling,07/31,1
female,1965/07/31,Harry Potter and the Half Blood Prince,1,2005,"Yate, South Gloucestershire, England",652,1077326,1965,"Yate, South Gloucestershire, England",J.K. Rowling,07/31,1
female,1965/07/31,Harry Potter and the Order of the Phoenix,2,2003,"Yate, South Gloucestershire, England",870,1077326,1965,"Yate, South Gloucestershire, England",J.K. Rowling,07/31,1
,,Harry Potter and the Philosopher's Stone,3106384,2000,,144,5989293,,,Dave Hockley,,1
female,1965/07/31,Harry Potter and the Prisoner of Azkaban,5,1999,"Yate, South Gloucestershire, England",435,1077326,1965,"Yate, South Gloucestershire, England",J.K. Rowling,07/31,1
